iter	Passed	Remaining
0	0	727
1	1	659
2	1	648
3	2	631
4	3	623
5	3	628
6	4	616
7	4	609
8	5	605
9	6	604
10	6	605
11	7	599
12	7	598
13	8	596
14	9	594
15	9	593
16	10	593
17	10	585
18	11	582
19	11	582
20	12	583
21	13	581
22	13	579
23	14	578
24	14	579
25	15	577
26	15	574
27	16	572
28	17	571
29	17	572
30	18	570
31	18	569
32	19	569
33	20	569
34	20	569
35	21	567
36	21	565
37	22	566
38	22	565
39	23	562
40	24	561
41	24	560
42	25	560
43	25	559
44	26	558
45	26	558
46	27	557
47	28	556
48	28	555
49	29	556
50	29	556
51	30	556
52	31	555
53	31	554
54	32	553
55	32	553
56	33	553
57	33	552
58	34	552
59	35	552
60	35	551
61	36	551
62	37	551
63	37	550
64	38	549
65	38	549
66	39	548
67	39	548
68	40	547
69	41	545
70	41	546
71	42	545
72	42	544
73	43	544
74	44	543
75	44	541
76	45	542
77	45	541
78	46	539
79	46	536
80	47	535
81	47	534
82	48	534
83	48	534
84	49	533
85	50	533
86	50	532
87	51	532
88	51	531
89	52	530
90	53	530
91	53	530
92	54	530
93	54	529
94	55	529
95	56	528
96	56	527
97	57	526
98	57	525
99	58	525
100	58	524
101	59	524
102	60	523
103	60	523
104	61	523
105	62	522
106	62	522
107	63	521
108	63	521
109	64	521
110	65	520
111	65	520
112	66	520
113	66	519
114	67	518
115	68	518
116	68	518
117	69	517
118	69	517
119	70	517
120	71	516
121	71	516
122	72	516
123	73	519
124	74	518
125	74	517
126	75	517
127	76	517
128	76	517
129	77	518
130	78	518
131	78	517
132	79	516
133	79	516
134	80	515
135	80	514
136	81	513
137	82	512
138	82	512
139	83	510
140	83	510
141	84	509
142	84	508
143	85	508
144	86	507
145	86	506
146	87	506
147	87	505
148	88	504
149	88	504
150	89	503
151	90	503
152	90	502
153	91	502
154	92	501
155	92	501
156	93	500
157	93	499
158	94	499
159	94	498
160	95	497
161	96	496
162	96	496
163	97	495
164	97	494
165	98	493
166	98	493
167	99	492
168	100	491
169	100	491
170	101	490
171	101	489
172	102	488
173	102	488
174	103	488
175	104	487
176	104	487
177	105	486
178	105	486
179	106	485
180	107	484
181	107	484
182	108	483
183	108	483
184	109	482
185	110	481
186	110	480
187	111	480
188	111	479
189	112	478
190	112	478
191	113	477
192	114	476
193	114	475
194	115	475
195	115	474
196	116	473
197	116	472
198	117	472
199	118	472
200	118	472
201	119	471
202	120	471
203	120	471
204	121	470
205	121	470
206	122	469
207	123	469
208	123	468
209	124	468
210	125	467
211	125	467
212	126	466
213	126	465
214	127	464
215	127	464
216	128	463
217	129	463
218	129	462
219	130	461
220	131	462
221	131	461
222	132	461
223	132	460
224	133	460
225	134	459
226	134	458
227	135	458
228	136	458
229	136	458
230	137	457
231	138	456
232	138	456
233	139	455
234	139	455
235	140	454
236	141	454
237	141	453
238	142	453
239	143	452
240	143	452
241	144	451
242	144	450
243	145	450
244	145	449
245	146	448
246	146	447
247	147	447
248	148	446
249	148	446
250	149	445
251	149	445
252	150	444
253	151	443
254	151	443
255	152	442
256	152	442
257	153	441
258	154	441
259	154	440
260	155	440
261	156	439
262	156	438
263	157	438
264	157	437
265	158	436
266	158	436
267	159	435
268	160	434
269	160	434
270	161	434
271	161	433
272	162	432
273	163	432
274	163	431
275	164	430
276	164	429
277	165	429
278	165	428
279	166	427
280	166	427
281	167	426
282	168	426
283	168	425
284	169	424
285	169	423
286	170	423
287	170	422
288	171	421
289	171	420
290	172	420
291	173	420
292	173	419
293	174	419
294	175	418
295	175	418
296	176	417
297	177	417
298	177	416
299	178	416
300	178	415
301	179	414
302	180	414
303	180	413
304	181	412
305	181	412
306	182	411
307	182	411
308	183	410
309	184	410
310	184	409
311	185	408
312	185	408
313	186	407
314	187	407
315	187	406
316	188	405
317	188	404
318	189	404
319	190	403
320	190	403
321	191	402
322	191	402
323	192	401
324	192	400
325	193	400
326	194	399
327	194	398
328	195	398
329	195	397
330	196	397
331	197	396
332	197	395
333	198	395
334	198	394
335	199	393
336	199	393
337	200	392
338	200	391
339	201	391
340	202	390
341	202	389
342	203	389
343	203	388
344	204	387
345	204	387
346	205	386
347	205	385
348	206	385
349	207	384
350	207	384
351	208	383
352	208	382
353	209	382
354	210	381
355	210	380
356	211	380
357	211	379
358	212	379
359	212	378
360	213	377
361	213	377
362	214	376
363	215	375
364	215	375
365	216	374
366	216	373
367	217	373
368	217	372
369	218	372
370	219	371
371	219	370
372	220	370
373	220	369
374	221	368
375	221	367
376	222	367
377	222	366
378	223	366
379	223	365
380	224	364
381	225	364
382	225	363
383	226	363
384	226	362
385	227	362
386	228	361
387	228	360
388	229	360
389	229	359
390	230	358
391	230	357
392	231	357
393	231	356
394	232	355
395	232	354
396	233	354
397	233	353
398	234	353
399	234	352
400	235	351
401	236	351
402	236	350
403	237	349
404	237	349
405	238	348
406	238	348
407	239	347
408	239	346
409	240	346
410	241	345
411	241	345
412	242	344
413	242	343
414	243	343
415	243	342
416	244	341
417	245	341
418	245	340
419	246	339
420	246	339
421	247	339
422	248	338
423	248	337
424	249	337
425	249	336
426	250	335
427	250	335
428	251	334
429	252	334
430	252	333
431	253	332
432	253	332
433	254	331
